#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 301179:6086 | 08/15/17 07:58:06 | 25   | 19   | 0.004466658    | 0.002079726   |
| 301180:6086 | 08/15/17 08:08:13 | 97   | 92   | 0.016993956    | 0.015074867   |
| 301183:6086 | 08/15/17 08:47:34 | 299  | 299  | 0.048792704    | 0.045954199   |
| 301281:6089 | 08/15/17 23:07:42 | 120  | 120  | 0.020355026    | 0.018862935   |
| 301283:6089 | 08/15/17 23:59:33 | 884  | 884  | 0.125867357    | 0.121755836   |
| 301298:6090 | 08/16/17 09:17:06 | 905  | 905  | 0.162248374    | 0.156258114   |
| 301323:6091 | 08/16/17 18:21:28 | 954  | 954  | 0.176314665    | 0.167581189   |
| 301330:6093 | 08/17/17 05:31:25 | 332  | 332  | 0.069525618    | 0.065477793   |
| 301359:6094 | 08/17/17 11:07:05 | 287  | 287  | 0.062044084    | 0.058223615   |
| 301384:6096 | 08/17/17 15:43:36 | 476  | 476  | 0.099694472    | 0.095748431   |
| 301391:6097 | 08/17/17 21:43:51 | 177  | 175  | 0.037737691    | 0.035114798   |
| 301392:6097 | 08/17/17 22:57:14 | 627  | 627  | 0.116009395    | 0.111762340   |
| 301393:6097 | 08/18/17 03:04:23 | 17   | 17   | 0.002749452    | 0.002638600   |
| 301396:6097 | 08/18/17 03:39:06 | 33   | 26   | 0.005174241    | 0.003781374   |
| 301397:6097 | 08/18/17 03:55:16 | 725  | 719  | 0.099019061    | 0.095095613   |
| 301398:6097 | 08/18/17 08:43:05 | 9    | 9    | 0.001072223    | 0.000565061   |
| 301399:6097 | 08/18/17 08:50:12 | 108  | 108  | 0.012576928    | 0.012401697   |
| 301417:6098 | 08/18/17 12:47:02 | 318  | 318  | 0.071681543    | 0.068760821   |
| 301447:6104 | 08/19/17 11:30:21 | 422  | 422  | 0.076179873    | 0.072905188   |
| 301448:6104 | 08/19/17 14:20:04 | 329  | 325  | 0.050848898    | 0.048685578   |
| 301449:6104 | 08/19/17 16:30:03 | 404  | 398  | 0.053881479    | 0.049891080   |
| 301450:6104 | 08/19/17 19:07:02 | 173  | 173  | 0.020257174    | 0.019653517   |
| 301461:6105 | 08/19/17 23:00:39 | 554  | 554  | 0.106614748    | 0.099274435   |
| 301472:6106 | 08/20/17 14:12:08 | 796  | 796  | 0.145323888    | 0.140455503   |
| 301475:6106 | 08/20/17 19:47:02 | 18   | 12   | 0.002765075    | 0.001568274   |
| 301476:6106 | 08/20/17 19:53:54 | 844  | 844  | 0.111676013    | 0.108771443   |
| 301519:6110 | 08/21/17 13:13:29 | 209  | 203  | 0.038668084    | 0.033917296   |
| 301524:6110 | 08/21/17 14:45:22 | 257  | 257  | 0.043192980    | 0.041629734   |
| 301529:6110 | 08/21/17 17:22:10 | 49   | 49   | 0.007401439    | 0.006659763   |
| 301530:6110 | 08/21/17 17:44:34 | 110  | 107  | 0.015934173    | 0.014509317   |
| 301531:6110 | 08/21/17 18:34:34 | 394  | 393  | 0.050727682    | 0.048916991   |
| 301532:6110 | 08/21/17 21:12:59 | 611  | 611  | 0.064650530    | 0.063324427   |
| 301567:6114 | 08/22/17 08:46:48 | 359  | 359  | 0.067487497    | 0.064262683   |
| 301627:6116 | 08/22/17 23:21:43 | 887  | 887  | 0.136025190    | 0.133211558   |
| 301664:6119 | 08/23/17 12:24:23 | 418  | 411  | 0.075302730    | 0.071408491   |
| 301665:6119 | 08/23/17 15:07:51 | 463  | 463  | 0.070629117    | 0.068864604   |
| 301694:6123 | 08/24/17 04:23:23 | 67   | 67   | 0.019758641    | 0.017982959   |
| 301912:6136 | 08/26/17 13:57:23 | 332  | 332  | 0.040598318    | 0.038824944   |
| 301913:6136 | 08/26/17 16:26:53 | 58   | 55   | 0.006697934    | 0.006035591   |
| 301914:6136 | 08/26/17 16:50:06 | 350  | 350  | 0.036970428    | 0.035987062   |
| 301941:6138 | 08/27/17 09:32:02 | 538  | 538  | 0.078150292    | 0.075585513   |
| 301959:6140 | 08/27/17 18:23:25 | 1909 | 1909 | 0.287164839    | 0.279143396   |
| 301960:6140 | 08/28/17 06:47:36 | 147  | 147  | 0.014657514    | 0.014356055   |
| 301970:6141 | 08/28/17 10:42:12 | 118  | 118  | 0.023404842    | 0.022691178   |
| 301984:6142 | 08/28/17 14:13:01 | 301  | 300  | 0.059997710    | 0.056413086   |
| 301985:6142 | 08/28/17 16:11:54 | 367  | 360  | 0.064153541    | 0.060905579   |
| 301986:6142 | 08/28/17 18:34:30 | 381  | 379  | 0.056910733    | 0.055046013   |
| 301987:6142 | 08/28/17 21:03:27 | 1128 | 1128 | 0.126159119    | 0.123998159   |
| 301997:6143 | 08/29/17 06:55:19 | 371  | 361  | 0.071025238    | 0.066083560   |
| 301998:6143 | 08/29/17 09:19:31 | 1704 | 1704 | 0.224277794    | 0.219896144   |
| 302019:6146 | 08/30/17 03:40:54 | 53   | 53   | 0.010013177    | 0.009297672   |
| 302026:6147 | 08/30/17 06:49:09 | 37   | 30   | 0.006858536    | 0.004741218   |
| 302029:6147 | 08/30/17 07:16:38 | 98   | 92   | 0.020111300    | 0.015524658   |
| 302031:6147 | 08/30/17 08:08:29 | 814  | 814  | 0.135949226    | 0.130228909   |
| 302033:6147 | 08/30/17 13:34:23 | 43   | 41   | 0.005949193    | 0.005229971   |
| 302034:6147 | 08/30/17 13:54:42 | 20   | 12   | 0.002724059    | 0.000488781   |
| 302037:6147 | 08/30/17 14:25:39 | 3    | 2    | 0.000397129    | 0.000061068   |
| 302038:6147 | 08/30/17 14:31:57 | 1    | 1    | 0.000131501    | 0.000009084   |
| 302040:6147 | 08/30/17 14:35:43 | 174  | 168  | 0.022403929    | 0.021171928   |
| 302041:6147 | 08/30/17 15:44:00 | 72   | 65   | 0.008831405    | 0.007813998   |
| 302042:6147 | 08/30/17 16:12:12 | 523  | 516  | 0.057367902    | 0.055477948   |
| 302043:6147 | 08/30/17 19:35:17 | 228  | 228  | 0.021433079    | 0.020998567   |
| 302131:6152 | 08/31/17 12:32:49 | 873  | 873  | 0.115464748    | 0.112968983   |
| 302159:6155 | 09/01/17 00:37:45 | 108  | 108  | 0.017290538    | 0.016349679   |
| 302163:6156 | 09/01/17 03:33:23 | 1197 | 1189 | 0.154104212    | 0.148159002   |
| 302165:6156 | 09/01/17 11:25:29 | 85   | 80   | 0.007769852    | 0.006927968   |
| 302166:6156 | 09/01/17 11:58:48 | 16   | 16   | 0.001557163    | 0.001532384   |
| 302225:6158 | 09/01/17 18:41:42 | 868  | 868  | 0.118915954    | 0.116241958   |
| 302228:6159 | 09/02/17 03:31:11 | 234  | 234  | 0.040288028    | 0.038790047   |
| 302229:6159 | 09/02/17 05:05:33 | 457  | 457  | 0.069994786    | 0.068335168   |
| 302240:6160 | 09/02/17 10:53:49 | 960  | 960  | 0.143557447    | 0.140471392   |
| 302262:6161 | 09/03/17 03:32:01 | 435  | 428  | 0.081149688    | 0.077032218   |
| 302263:6161 | 09/03/17 06:21:33 | 1250 | 1250 | 0.170413701    | 0.166829672   |
| 302277:6165 | 09/03/17 22:44:53 | 372  | 372  | 0.056099762    | 0.054463305   |
| 302279:6165 | 09/04/17 07:35:59 | 71   | 70   | 0.006570420    | 0.005946208   |
| 302280:6165 | 09/04/17 08:06:52 | 152  | 152  | 0.013006516    | 0.012807028   |
| 302322:6167 | 09/04/17 17:43:03 | 838  | 838  | 0.101561702    | 0.098876938   |
| 302328:6168 | 09/05/17 01:49:04 | 681  | 681  | 0.098235628    | 0.095461176   |
| 302337:6169 | 09/05/17 09:16:54 | 136  | 127  | 0.024190547    | 0.020904505   |
| 302342:6169 | 09/05/17 10:22:41 | 54   | 54   | 0.009369236    | 0.007086222   |
| 302343:6169 | 09/05/17 10:52:16 | 98   | 97   | 0.016374912    | 0.015644100   |
| 302344:6169 | 09/05/17 11:33:15 | 480  | 480  | 0.071831361    | 0.070115901   |
| 302350:6169 | 09/05/17 15:02:18 | 136  | 136  | 0.017113206    | 0.016847135   |
| 302388:6170 | 09/05/17 18:47:02 | 685  | 685  | 0.133599899    | 0.129234469   |
| 302392:6171 | 09/06/17 01:57:38 | 363  | 355  | 0.082820906    | 0.076757856   |
| 302393:6171 | 09/06/17 04:19:09 | 887  | 887  | 0.164045432    | 0.160557212   |
| 302448:6174 | 09/06/17 20:48:45 | 1898 | 1898 | 0.321626330    | 0.313701909   |
| 302472:6175 | 09/07/17 11:26:59 | 781  | 781  | 0.164589047    | 0.158148017   |
| 302473:6175 | 09/07/17 16:32:57 | 377  | 368  | 0.064590802    | 0.061488881   |
| 302474:6175 | 09/07/17 19:17:18 | 305  | 305  | 0.046235833    | 0.044087746   |
| 302475:6175 | 09/07/17 21:17:58 | 7    | 2    | 0.001007049    | 0.000101066   |
| 302476:6175 | 09/07/17 21:22:32 | 259  | 259  | 0.034879187    | 0.033916314   |
| 302479:6176 | 09/08/17 01:19:43 | 309  | 309  | 0.073316337    | 0.070058542   |
| 302484:6177 | 09/08/17 06:07:18 | 169  | 169  | 0.039861378    | 0.037365869   |
| 302485:6177 | 09/08/17 07:17:25 | 922  | 922  | 0.182617363    | 0.176630090   |
| 302492:6177 | 09/08/17 13:49:02 | 49   | 44   | 0.007896868    | 0.006904477   |
| 302493:6177 | 09/08/17 14:09:59 | 7    | 2    | 0.001115717    | 0.000144108   |
| 302494:6177 | 09/08/17 14:13:24 | 618  | 618  | 0.089698645    | 0.087698011   |
| 302509:6179 | 09/08/17 23:12:14 | 20   | 20   | 0.005280223    | 0.005111673   |
| 302513:6180 | 09/09/17 02:18:37 | 53   | 53   | 0.013612605    | 0.012539023   |
| 302522:6182 | 09/09/17 07:21:37 | 18   | 12   | 0.003122362    | 0.000520158   |
| 302523:6182 | 09/09/17 07:29:07 | 59   | 54   | 0.014097565    | 0.010987125   |
| 302525:6182 | 09/09/17 07:58:46 | 709  | 702  | 0.143687758    | 0.137409234   |
| 302526:6182 | 09/09/17 13:00:58 | 582  | 582  | 0.091822981    | 0.089613290   |
| 302548:6185 | 09/10/17 01:59:07 | 85   | 81   | 0.018929513    | 0.016101126   |
| 302551:6185 | 09/10/17 02:41:42 | 7    | 6    | 0.001566641    | 0.000106049   |
| 302553:6185 | 09/10/17 02:50:55 | 188  | 187  | 0.039816554    | 0.037756779   |
| 302554:6185 | 09/10/17 04:05:18 | 7    | 3    | 0.001413409    | 0.000093177   |
| 302555:6185 | 09/10/17 04:09:27 | 11   | 11   | 0.002214647    | 0.001943426   |
| 302563:6186 | 09/10/17 07:12:18 | 7    | 7    | 0.001488736    | 0.000326890   |
