#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 276653:5091 | 07/12/16 00:12:31 | 491  | 484  | 0.095785076    | 0.090169115   |
| 276655:5091 | 07/12/16 03:26:27 | 1113 | 1105 | 0.180045877    | 0.168081148   |
| 276659:5091 | 07/12/16 10:39:14 | 251  | 251  | 0.034066174    | 0.031182175   |
| 276775:5093 | 07/12/16 21:26:20 | 1174 | 1165 | 0.223564246    | 0.210692911   |
| 276776:5093 | 07/13/16 05:02:29 | 1823 | 1823 | 0.247027709    | 0.238633407   |
| 276794:5093 | 07/13/16 17:05:19 | 885  | 885  | 0.090045760    | 0.087751012   |
| 276807:5095 | 07/14/16 03:24:10 | 162  | 160  | 0.034343237    | 0.030992167   |
| 276808:5095 | 07/14/16 04:28:59 | 883  | 877  | 0.168075359    | 0.160297701   |
| 276810:5095 | 07/14/16 10:15:45 | 291  | 288  | 0.047896443    | 0.045278374   |
| 276811:5095 | 07/14/16 12:15:34 | 2563 | 2563 | 0.313977993    | 0.304139282   |
| 276831:5096 | 07/15/16 07:47:45 | 2648 | 2644 | 0.422205419    | 0.404218246   |
| 276834:5096 | 07/16/16 01:42:10 | 729  | 724  | 0.076554083    | 0.072679005   |
| 276870:5097 | 07/16/16 11:02:01 | 3403 | 3403 | 0.548398176    | 0.528286145   |
| 276935:5101 | 07/17/16 23:39:55 | 824  | 824  | 0.180401333    | 0.170864326   |
| 276940:5102 | 07/18/16 08:13:36 | 145  | 144  | 0.034561283    | 0.029022068   |
| 276946:5102 | 07/18/16 09:56:36 | 34   | 27   | 0.007827917    | 0.004291750   |
| 276947:5102 | 07/18/16 10:11:19 | 150  | 141  | 0.033415072    | 0.024785827   |
| 276948:5102 | 07/18/16 11:09:46 | 481  | 475  | 0.097436627    | 0.086444535   |
| 276950:5102 | 07/18/16 14:16:46 | 2353 | 2353 | 0.336878715    | 0.322546260   |
| 277069:5105 | 07/19/16 17:52:15 | 314  | 311  | 0.080778593    | 0.075979622   |
| 277070:5105 | 07/19/16 19:54:10 | 1063 | 1060 | 0.218077508    | 0.206239569   |
| 277071:5105 | 07/20/16 02:48:37 | 171  | 171  | 0.027257006    | 0.024523396   |
| 277072:5105 | 07/20/16 04:01:41 | 482  | 473  | 0.073932247    | 0.068671856   |
| 277073:5105 | 07/20/16 07:09:54 | 98   | 91   | 0.014821845    | 0.013206867   |
| 277076:5105 | 07/20/16 07:55:58 | 1033 | 1033 | 0.135433493    | 0.130211341   |
| 277087:5105 | 07/20/16 17:49:22 | 988  | 988  | 0.091572497    | 0.088428818   |
| 277094:5106 | 07/21/16 04:03:57 | 596  | 588  | 0.144721279    | 0.135922991   |
| 277096:5106 | 07/21/16 07:56:15 | 2093 | 2086 | 0.347296212    | 0.333015884   |
| 277112:5106 | 07/21/16 21:29:35 | 155  | 155  | 0.018608587    | 0.017944547   |
| 277126:5107 | 07/22/16 01:36:48 | 19   | 18   | 0.004569783    | 0.001971550   |
| 277127:5107 | 07/22/16 01:46:10 | 901  | 901  | 0.191455677    | 0.184041604   |
| 277148:5108 | 07/22/16 10:31:05 | 633  | 628  | 0.137509363    | 0.128293075   |
| 277166:5109 | 07/22/16 18:10:24 | 357  | 355  | 0.075257521    | 0.070897811   |
| 277168:5109 | 07/22/16 20:34:54 | 2223 | 2223 | 0.330846763    | 0.318695174   |
| 277180:5110 | 07/23/16 13:37:58 | 141  | 141  | 0.033571311    | 0.031160351   |
| 277194:5111 | 07/23/16 18:25:08 | 1954 | 1954 | 0.389904599    | 0.367713676   |
| 277305:5116 | 07/25/16 01:23:15 | 683  | 683  | 0.162109965    | 0.153391878   |
| 277420:5117 | 07/25/16 19:44:15 | 263  | 263  | 0.065131004    | 0.060780984   |
| 277981:5151 | 08/01/16 11:53:00 | 81   | 76   | 0.005201083    | 0.004478905   |
| 277991:5151 | 08/01/16 15:43:57 | 98   | 90   | 0.005617233    | 0.004631620   |
| 277992:5151 | 08/01/16 16:22:25 | 311  | 311  | 0.017365789    | 0.016505146   |
| 278017:5154 | 08/01/16 23:26:44 | 521  | 517  | 0.134201624    | 0.124682427   |
| 278018:5154 | 08/02/16 02:52:02 | 1158 | 1158 | 0.225594763    | 0.214466197   |
| 278167:5161 | 08/03/16 18:39:02 | 2173 | 2171 | 0.329341448    | 0.314843455   |
| 278175:5161 | 08/04/16 08:44:59 | 88   | 88   | 0.009174600    | 0.008945707   |
| 278193:5162 | 08/04/16 12:31:45 | 155  | 155  | 0.036243131    | 0.034538258   |
| 278239:5163 | 08/04/16 23:23:01 | 679  | 676  | 0.145281189    | 0.133616369   |
| 278240:5163 | 08/05/16 03:46:55 | 1303 | 1303 | 0.205325646    | 0.196743757   |
| 278273:5169 | 08/05/16 17:37:20 | 40   | 40   | 0.008079343    | 0.005855715   |
| 278274:5169 | 08/05/16 17:55:42 | 85   | 85   | 0.019579066    | 0.018035760   |
| 278288:5170 | 08/05/16 21:11:13 | 18   | 15   | 0.004182910    | 0.002865210   |
| 278289:5170 | 08/05/16 21:18:03 | 59   | 54   | 0.013138186    | 0.009441748   |
| 278290:5170 | 08/05/16 21:42:35 | 11   | 11   | 0.002611269    | 0.002422003   |
| 278308:5173 | 08/06/16 13:00:40 | 1754 | 1750 | 0.331820959    | 0.313862157   |
| 278310:5173 | 08/07/16 00:47:38 | 709  | 709  | 0.090882984    | 0.087850546   |
| 278315:5179 | 08/07/16 10:56:52 | 693  | 693  | 0.149406503    | 0.137241710   |
| 278345:5181 | 08/08/16 00:13:40 | 748  | 748  | 0.163965965    | 0.150317292   |
| 278346:5181 | 08/08/16 05:08:16 | 150  | 141  | 0.028302460    | 0.022255638   |
| 278349:5181 | 08/08/16 06:27:07 | 621  | 617  | 0.100055381    | 0.094552255   |
| 278366:5181 | 08/08/16 10:36:49 | 453  | 453  | 0.061257414    | 0.059099631   |
| 278406:5183 | 08/08/16 17:15:51 | 1597 | 1597 | 0.313226614    | 0.297226049   |
| 278509:5187 | 08/09/16 18:29:15 | 1467 | 1467 | 0.295099673    | 0.273727576   |
| 278769:5197 | 08/13/16 06:38:57 | 37   | 31   | 0.009667565    | 0.007237295   |
| 278770:5197 | 08/13/16 06:54:01 | 767  | 767  | 0.171616830    | 0.164426780   |
| 278801:5198 | 08/13/16 14:43:37 | 45   | 42   | 0.012014588    | 0.007835874   |
| 278802:5198 | 08/13/16 15:01:06 | 21   | 17   | 0.004812595    | 0.001705727   |
| 278803:5198 | 08/13/16 15:10:53 | 330  | 323  | 0.080383794    | 0.071898534   |
| 278804:5198 | 08/13/16 17:20:07 | 8    | 5    | 0.001825361    | 0.000738876   |
| 278805:5198 | 08/13/16 17:23:11 | 288  | 285  | 0.062220623    | 0.056015502   |
| 278808:5198 | 08/13/16 19:25:19 | 1791 | 1791 | 0.279603107    | 0.269196696   |
| 278820:5199 | 08/14/16 11:00:52 | 1524 | 1524 | 0.300457015    | 0.287580218   |
| 278822:5199 | 08/14/16 21:52:48 | 1627 | 1627 | 0.195829704    | 0.189724216   |
| 278873:5205 | 08/15/16 23:25:46 | 67   | 60   | 0.012468667    | 0.002012171   |
| 278874:5205 | 08/15/16 23:51:54 | 484  | 484  | 0.088533995    | 0.082142606   |
| 278875:5205 | 08/16/16 03:01:21 | 834  | 834  | 0.120598273    | 0.115092509   |
| 278923:5206 | 08/16/16 12:16:33 | 413  | 413  | 0.103255455    | 0.098881487   |
| 278957:5209 | 08/16/16 21:31:37 | 149  | 149  | 0.037843042    | 0.036288211   |
| 278962:5210 | 08/17/16 01:08:32 | 351  | 348  | 0.084503920    | 0.076386870   |
| 278963:5210 | 08/17/16 03:24:58 | 174  | 174  | 0.038698940    | 0.037207039   |
| 278969:5211 | 08/17/16 07:16:53 | 1394 | 1394 | 0.298132154    | 0.284195463   |
| 278975:5211 | 08/17/16 16:23:17 | 857  | 854  | 0.126810893    | 0.119935614   |
| 278976:5211 | 08/17/16 21:58:17 | 20   | 20   | 0.002645822    | 0.002550279   |
| 278986:5213 | 08/18/16 04:03:00 | 129  | 129  | 0.033702921    | 0.031606691   |
| 279024:5219 | 08/18/16 22:31:54 | 301  | 301  | 0.052338496    | 0.049722297   |
| 279029:5219 | 08/19/16 02:19:42 | 260  | 260  | 0.039991591    | 0.038016732   |
| 279071:5222 | 08/19/16 15:40:07 | 174  | 174  | 0.023618440    | 0.022701025   |
| 279080:5223 | 08/19/16 22:42:51 | 157  | 157  | 0.013094261    | 0.012624985   |
| 279115:5229 | 08/20/16 22:08:10 | 407  | 407  | 0.087971980    | 0.084666662   |
| 279116:5229 | 08/21/16 01:36:04 | 448  | 448  | 0.094868043    | 0.091044986   |
| 279479:5247 | 08/25/16 04:33:24 | 105  | 105  | 0.006484906    | 0.006139569   |
| 279588:5251 | 08/25/16 21:08:12 | 1160 | 1160 | 0.237990796    | 0.229610033   |
| 279653:5253 | 08/26/16 14:05:53 | 188  | 188  | 0.046963420    | 0.043557304   |
| 279654:5253 | 08/26/16 15:21:58 | 1253 | 1245 | 0.250465021    | 0.241173745   |
| 279656:5253 | 08/26/16 23:49:41 | 49   | 49   | 0.007648567    | 0.005674488   |
| 279658:5253 | 08/27/16 01:35:20 | 713  | 713  | 0.095785218    | 0.093009565   |
| 279667:5254 | 08/27/16 09:08:24 | 966  | 966  | 0.216621211    | 0.209474853   |
| 279681:5256 | 08/27/16 21:57:03 | 35   | 28   | 0.008292798    | 0.006676737   |
| 279682:5256 | 08/27/16 22:11:02 | 47   | 47   | 0.012289212    | 0.007779786   |
