--------------------------------------------------------
EVENT #1
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
35      | 21       | 71      | 0                 | 41-42             | 7.61706      | 3.45821      | -3.07659     | 121.079      | -2.33602e-06 
36      | 21       | 71      | 0                 | 41-42             | 19.9979      | 3.83089      | 3.05838      | 461.205      | 1.07896e-05  
37      | 21       | 71      | 0                 | 41-42             | 13.711       | 3.69699      | -3.14115     | 276.623      | -3.8147e-06  
38      | 21       | 71      | 0                 | 41-42             | 17.6151      | 3.12806      | -2.70215     | 201.46       | 2.6974e-06   
39      | 1        | 71      | 0                 | 41-42             | 55.0557      | 3.06959      | -2.67613     | 594.035      | 0.33         
40      | 2212     | 1       | 0                 |                   | 7.16628      | -3.40211     | 2.29496      | 107.716      | 0.93827      
41      | 2212     | 1       | 0                 |                   | 0.383505     | -8.67307     | 0.88613      | 1120.49      | 0.93827      
42      | 2212     | 1       | 0                 |                   | 0.359746     | -2.04492     | -0.577323    | 1.69651      | 0.93827      
43      | 113      | 2       | 0                 |                   | 0.703721     | 0.113467     | 2.25221      | 1.06697      | 0.797992     
44      | 111      | 2       | 0                 |                   | 0.02905      | 2.22309      | 1.13027      | 0.191417     | 0.13498      
45      | 11       | 1       | 0                 |                   | 0.0579694    | 0.348259     | -0.901695    | 0.0615226    | 0.000511     
46      | -11      | 1       | 0                 |                   | 0.0020125    | 0.126298     | 0.384571     | 0.00209194   | 0.000511     
--------------------------------------------------------
EVENT #3
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 27 29-38 45-48 50-52 55-57 61-62 | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 27-30 39-48 50-52 55-57 61-62 | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 21       | 21      | 0                 | 5                 | 0            | 23472.4      | 0            | 716.449      | 0            
4       | 21       | 21      | 0                 | 5                 | 0            | -23146.5     | 0            | 390.467      | 0            
5       | 25       | 22      | 0                 | 6                 | 0            | 23082        | 0            | 1106.92      | 1057.83      
6       | 25       | 44      | 0                 | 7                 | 313.095      | 1.5676       | -0.230578    | 1316.27      | 1057.83      
7       | 25       | 44      | 0                 | 8                 | 342.54       | 1.48063      | -0.171885    | 1321.35      | 1057.83      
8       | 25       | 44      | 0                 | 9                 | 323.983      | 1.53825      | -0.179742    | 1319.72      | 1057.83      
9       | 25       | 44      | 0                 | 10                | 336.959      | 1.50838      | -0.191225    | 1325.49      | 1057.83      
10      | 25       | 44      | 0                 | 11                | 330.451      | 1.52121      | -0.190491    | 1321.73      | 1057.83      
11      | 25       | 62      | 0                 | 12-13             | 330.161      | 1.52321      | -0.186457    | 1322.18      | 1057.83      
12      | 4900001  | 22      | 0                 | 14-15             | 459.172      | 1.47293      | -0.176892    | 1055.28      | 50.1692      
13      | -4900001 | 22      | 0                 | 16-17             | 129.065      | -1.33255     | 2.98917      | 266.901      | 52.6947      
14      | 4900022  | 22      | 0                 | 18-19             | 231.382      | 1.40439      | -0.0891991   | 499.622      | 2.08383      
15      | 4900004  | 1       | 0                 |                   | 229.575      | 1.53136      | -0.265276    | 555.658      | 2            
16      | 4900022  | 22      | 0                 | 25-26             | 79.5587      | -1.02343     | -3.11583     | 125.503      | 11.3329      
17      | -4900004 | 1       | 0                 |                   | 52.6879      | -1.64356     | 2.71823      | 141.399      | 2            
18      | 11       | 23      | 0                 | 20 24             | 205.613      | 1.40257      | -0.0865563   | 443.26       | 0.000510856  
19      | -11      | 23      | 0                 | 21                | 25.7754      | 1.41858      | -0.110283    | 56.3621      | 0.000511001  
20      | 22       | 1       | 0                 |                   | 5.92248      | 1.40267      | -0.0869234   | 12.7688      | -1.68587e-07 
21      | -11      | 52      | 0                 | 22-23             | 25.7744      | 1.41858      | -0.110283    | 56.3598      | 0.000511003  
22      | -11      | 1       | 0                 |                   | 22.6778      | 1.41858      | -0.110304    | 49.5884      | 0.000511005  
23      | 22       | 1       | 0                 |                   | 3.0967       | 1.41862      | -0.110134    | 6.77167      | 2.06477e-07  
24      | 11       | 1       | 0                 |                   | 199.691      | 1.40257      | -0.0865455   | 430.494      | 0.00051097   
25      | 13       | 1       | 0                 |                   | 66.6507      | -0.973845    | -3.06829     | 100.834      | 0.10566      
26      | -13      | 1       | 0                 |                   | 13.364       | -1.22304     | 2.92809      | 24.669       | 0.10566      
27      | 3        | 73      | 0                 | 49                | 2.20923      | -4.82122     | -1.59889     | 137.111      | 0.711658     
28      | 3        | 71      | 0                 |                   | 5.80077      | -3.02258     | 0.42372      | 59.7294      | 0.5          
29      | -2       | 71      | 0                 |                   | 7.7717       | 3.31775      | 0.935287     | 107.383      | 0.33         
30      | 2212     | 1       | 0                 |                   | 0.151373     | -9.74368     | -1.53651     | 1290.16      | 0.93827      
31      | 2        | 71      | 0                 | 45-48 51-52 55    | 14.967       | 2.73312      | -0.0314853   | 115.589      | 0.33         
32      | 21       | 71      | 0                 | 45-48 51-52 55    | 7.50433      | 2.92979      | -0.0206966   | 70.4551      | 0            
33      | 21       | 71      | 0                 | 45-48 51-52 55    | 28.85        | 0.494483     | 2.91746      | 32.4496      | -1.22733e-06 
34      | 21       | 71      | 0                 | 45-48 51-52 55    | 71.8867      | 0.470359     | 2.91611      | 79.9864      | 1.84678e-06  
35      | 21       | 71      | 0                 | 45-48 51-52 55    | 146          | 0.413439     | 2.89113      | 158.657      | -1.65181e-06 
36      | 21       | 71      | 0                 | 45-48 51-52 55    | 14.8045      | 0.644517     | 2.88883      | 17.9873      | 2.6656e-07   
37      | 21       | 71      | 0                 | 45-48 51-52 55    | 16.3294      | 0.618327     | 2.81842      | 19.5517      | -3.95372e-07 
38      | 21       | 71      | 0                 | 45-48 51-52 55    | 8.01812      | 0.713774     | 2.84121      | 10.1488      | -1.88486e-07 
39      | 21       | 71      | 0                 | 45-48 51-52 55    | 7.26917      | -0.301462    | -2.74428     | 7.60199      | -1.73776e-07 
40      | 21       | 71      | 0                 | 45-48 51-52 55    | 9.19509      | -0.169125    | -2.7312      | 9.32691      | -8.42937e-08 
41      | 21       | 71      | 0                 | 45-48 51-52 55    | 26.1138      | -0.270404    | -2.764       | 27.0743      | 5.12739e-07  
42      | 21       | 71      | 0                 | 45-48 51-52 55    | 7.25371      | -1.38576     | 2.71038      | 15.4069      | 2.38419e-07  
43      | 21       | 71      | 0                 | 45-48 51-52 55    | 9.2484       | -1.26836     | 2.62802      | 17.7399      | 4.12953e-07  
44      | -3       | 71      | 0                 | 45-48 51-52 55    | 5.07453      | -2.82159     | -0.826593    | 42.789       | 0.5          
