--------------------------------------------------------
EVENT #1
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
46      | 2212     | 1       | 0                 |                   | 0.731243     | -2.4333      | 3.09837      | 4.30242      | 0.93827      
47      | 111      | 2       | 0                 | 54                | 24.8421      | 3.69148      | -0.493891    | 498.449      | 0.13498      
48      | 2212     | 1       | 0                 |                   | 0.700609     | -4.54349     | -1.97417     | 32.9521      | 0.93827      
49      | 2212     | 1       | 0                 |                   | 4.15424      | -3.10616     | -1.14882     | 46.4953      | 0.93827      
50      | 2212     | 1       | 0                 |                   | 1.84663      | -1.46766     | -1.42282     | 4.32219      | 0.93827      
51      | 310      | 1       | 0                 |                   | 1.23672      | 0.0464884    | -2.58334     | 1.33432      | 0.49761      
52      | 321      | 1       | 0                 |                   | 0.464867     | -3.48613     | 1.91367      | 7.61429      | 0.49368      
53      | -321     | 1       | 0                 |                   | 0.251164     | -3.95557     | 1.14435      | 6.57951      | 0.49368      
54      | 22       | 1       | 0                 |                   | 21.2742      | 3.69363      | -0.494413    | 427.776      | 5.3948e-06   
--------------------------------------------------------
EVENT #17
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 20 23 35-37 40 44-48 51-56 | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 22 36-37 39-40 46-49 51-56 | 0            | -29256       | 0            | 6500         | 0.93827      
3       | -4       | 21      | 0                 | 5-7               | 0            | 23367.8      | 0            | 611.752      | 0            
4       | 2        | 21      | 0                 | 5-7               | 0            | -24958       | 0            | 2202.03      | 0            
5       | 25       | 22      | 0                 | 9                 | 62.0966      | -2.83842     | 1.72569      | 1252.09      | 1133.26      
6       | -3       | 23      | 0                 | 17                | 28.2728      | 2.87217      | -1.33803     | 250.666      | 0.5          
7       | 1        | 23      | 0                 | 16                | 33.9807      | -4.34575     | -1.48068     | 1311.03      | 0.33         
8       | -4       | 41      | 0                 | 3 41-42 44-45     | 2.51215e-15  | 40.7817      | -0.785398    | 646.055      | -4.0371e-05  
9       | 25       | 44      | 0                 | 11                | 76.7204      | -2.61927     | 1.49422      | 1250.78      | 1133.26      
10      | -4       | 42      | 0                 | 8                 | 3.20188e-13  | 35.9339      | -2.81984     | 646.054      | -1.32145e-05 
11      | 25       | 44      | 0                 | 13                | 73.5932      | -2.67403     | 1.61233      | 1253.64      | 1133.26      
12      | -4       | 41      | 0                 | 10 44-45          | 9.93014e-16  | 41.722       | 2.03444      | 653.95       | -1.32145e-05 
13      | 25       | 44      | 0                 | 15                | 76.45        | -2.63578     | 1.62967      | 1253.69      | 1133.26      
14      | -4       | 42      | 0                 | 12                | 1.52059e-13  | 36.6907      | 2.12862      | 653.949      | 3.05176e-05  
15      | 25       | 44      | 0                 | 19                | 77.3608      | -2.62515     | 1.63606      | 1253.99      | 1133.26      
16      | 1        | 44      | 0                 | 38                | 38.4598      | -4.2219      | -1.85675     | 1311.05      | 0.33         
17      | -3       | 52      | 0                 | 43-45             | 21.9537      | 3.1151       | -0.751312    | 247.859      | 0.5          
18      | -4       | 42      | 0                 | 14                | 7.43735e-13  | 35.1033      | -0.3764      | 653.949      | 1.70598e-05  
19      | 25       | 44      | 0                 | 21                | 77.4507      | -2.62414     | 1.63851      | 1254.03      | 1133.26      
20      | -4       | 61      | 0                 | 18                | 4.3508       | 5.70582      | -1.5033      | 653.958      | 2.28882e-05  
21      | 25       | 62      | 0                 | 24-25             | 74.8516      | -2.65747     | 1.64384      | 1253.76      | 1133.26      
22      | 22       | 1       | 0                 |                   | 23.2948      | -1.18113     | 0.323072     | 41.5228      | 1.16801e-06  
23      | 4        | 63      | 0                 | 34                | 0.234343     | 8.18244      | -2.90079     | 419.193      | 1.5          
24      | 4900001  | 22      | 0                 | 26-27             | 477.867      | 0.16549      | 0.380944     | 487.27       | 52.5731      
25      | -4900001 | 22      | 0                 | 28-29             | 460.738      | -1.09365     | -2.91609     | 766.492      | 50.0252      
26      | 4900022  | 22      | 0                 | 30-31             | 466.929      | 0.155885     | 0.365875     | 472.615      | 0.995237     
27      | 4900004  | 1       | 0                 |                   | 13.0505      | 0.469948     | 0.950383     | 14.6555      | 2            
28      | 4900022  | 22      | 0                 | 32-33             | 171.192      | -1.17631     | -2.85896     | 304.701      | 21.599       
29      | -4900004 | 1       | 0                 |                   | 289.99       | -1.04088     | -2.94981     | 461.791      | 2            
30      | 13       | 1       | 0                 |                   | 449.35       | 0.155536     | 0.365845     | 454.796      | 0.10566      
31      | -13      | 1       | 0                 |                   | 17.5797      | 0.164799     | 0.36663      | 17.8193      | 0.10566      
32      | 13       | 1       | 0                 |                   | 17.1901      | -0.897382    | -3.11924     | 24.589       | 0.10566      
33      | -13      | 1       | 0                 |                   | 154.644      | -1.20045     | -2.83035     | 280.112      | 0.10566      
34      | 4        | 71      | 0                 | 35                | 0.234343     | 8.18244      | -2.90079     | 419.193      | 1.5          
35      | 431      | 2       | 0                 | 57-58             | 0.698631     | 8.09338      | -3.00029     | 1143.22      | 1.96849      
36      | 21       | 71      | 0                 | 37                | 5.20351      | -0.760548    | 1.63851      | 6.79886      | 0.47271      
37      | 2212     | 1       | 0                 |                   | 1.35516      | -1.17866     | 1.71842      | 2.58679      | 0.93827      
38      | 1        | 71      | 0                 |                   | 32.1642      | -4.2367      | -1.85652     | 1112.79      | 0.33         
39      | 1        | 71      | 0                 | 61-62             | 1.29042      | -6.06468     | -0.788527    | 277.691      | 0.33         
40      | -1       | 71      | 0                 | 61-62             | 3.70253      | 2.04005      | 2.24872      | 14.4825      | 0.33         
41      | 21       | 71      | 0                 | 44-45             | 5.18995      | 1.09046      | -2.1546      | 8.59376      | 3.95372e-07  
42      | 21       | 71      | 0                 | 44-45             | 22.6652      | 0.417607     | -2.37428     | 24.6704      | 8.67857e-07  
43      | -3       | 71      | 0                 | 44-45             | 19.7195      | 3.00968      | -0.790982    | 200.451      | 0.5          
44      | 2212     | 1       | 0                 |                   | 1.61172      | 0.487177     | -2.26542     | 2.0359       | 0.93827      
45      | 2212     | 1       | 0                 |                   | 1.03245      | 3.40438      | -0.713403    | 15.5816      | 0.93827      
46      | 2        | 71      | 0                 |                   | 6.65283      | 0.0827811    | -1.15601     | 6.68379      | 0.33         
47      | 21       | 71      | 0                 |                   | 5.36682      | 4.02023      | 0.0454775    | 149.552      | 0.47609      
48      | 2        | 71      | 0                 | 50 59-60          | 3.08728      | 5.49794      | 3.09633      | 376.945      | 0.33         
49      | -1       | 71      | 0                 | 50 59-60          | 0.367936     | -8.41933     | 2.15577      | 834.084      | 0.33         
50      | 2212     | 1       | 0                 |                   | 0.513011     | 5.29446      | 2.82215      | 51.1134      | 0.93827      
51      | 2212     | 1       | 0                 |                   | 0.764173     | -0.0141326   | -1.62264     | 1.21014      | 0.93827      
52      | 2212     | 1       | 0                 |                   | 1.02561      | 5.08001      | 2.08199      | 82.4557      | 0.93827      
53      | -323     | 2       | 0                 |                   | 2.17432      | -0.648396    | 2.97868      | 2.80272      | 0.919399     
54      | 2212     | 1       | 0                 |                   | 0.806339     | -2.46151     | -1.0078      | 4.85215      | 0.93827      
55      | 2212     | 1       | 0                 |                   | 0.947086     | 1.62895      | -2.26907     | 2.67706      | 0.93827      
56      | 310      | 1       | 0                 |                   | 1.01193      | -2.06735     | 2.89897      | 4.09343      | 0.49761      
57      | 333      | 2       | 0                 | 63-64             | 0.572642     | 7.799        | 2.53609      | 698.094      | 1.02003      
58      | 213      | 2       | 0                 | 65                | 0.47835      | 7.52892      | -2.05066     | 445.128      | 0.772954     
59      | 11       | 1       | 0                 |                   | 0.0976861    | 1.7409       | 0.782582     | 0.287092     | 0.000511     
60      | -11      | 1       | 0                 |                   | 0.0286785    | 1.78201      | 0.82121      | 0.0876155    | 0.000511     
61      | 11       | 1       | 0                 |                   | 0.254931     | -4.71298     | 0.655768     | 14.1988      | 0.000511     
62      | -11      | 1       | 0                 |                   | 0.0540102    | -4.91703     | 0.650094     | 3.68899      | 0.000511     
63      | 321      | 1       | 0                 |                   | 0.293783     | 7.95343      | 2.73199      | 417.952      | 0.49368      
64      | -321     | 1       | 0                 |                   | 0.290169     | 7.56574      | 2.33771      | 280.143      | 0.49368      
65      | 111      | 2       | 0                 |                   | 0.556195     | 7.20016      | -1.63473     | 372.55       | 0.13498      
--------------------------------------------------------
EVENT #18
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 43-45           | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 14-15 37 40 42 44 | 0            | -29256       | 0            | 6500         | 0.93827      
3       | -2       | 21      | 0                 | 5-7               | 0            | 24195.8      | 0            | 1439.83      | 0            
4       | 2        | 21      | 0                 | 5-7               | 0            | -24585.7     | 0            | 1829.75      | 0            
5       | 25       | 22      | 0                 | 8                 | 125.467      | -1.68302     | 1.59044      | 1413.21      | 1369.37      
6       | -1       | 23      | 0                 | 13                | 132.698      | 2.60319      | -1.63463     | 901.076      | 0.33         
7       | 1        | 23      | 0                 | 16                | 12.9703      | -4.99246     | 0.56868      | 955.296      | 0.33         
8       | 25       | 44      | 0                 | 9                 | 136.494      | -1.61375     | 1.58122      | 1414.96      | 1369.37      
9       | 25       | 44      | 0                 | 10                | 128.327      | -1.67348     | 1.5815       | 1414.4       | 1369.37      
10      | 25       | 44      | 0                 | 11                | 130.736      | -1.65673     | 1.60428      | 1414.67      | 1369.37      
11      | 25       | 44      | 0                 | 12                | 131.143      | -1.65377     | 1.59506      | 1414.7       | 1369.37      
12      | 25       | 44      | 0                 | 18                | 131.792      | -1.6494      | 1.59387      | 1414.78      | 1369.37      
13      | -1       | 44      | 0                 | 34-35             | 128.153      | 2.6348       | -1.67371     | 897.859      | 0.33         
14      | 4        | 51      | 0                 | 19                | 4.0515       | -1.186       | -1.20691     | 7.40451      | 1.5          
15      | -4       | 51      | 0                 | 17 42             | 3.43431      | -1.63858     | -1.32582     | 9.29508      | 1.5          
16      | 1        | 52      | 0                 | 39 42             | 17.0846      | -4.71694     | 0.669302     | 955.326      | 0.33         
17      | -4       | 51      | 0                 | 20                | 4.4185       | -1.63497     | -1.54291     | 11.8579      | 1.5          
18      | 25       | 62      | 0                 | 21-22             | 132.002      | -1.64774     | 1.58987      | 1414.78      | 1369.37      
19      | 4        | 62      | 0                 | 36                | 4.04985      | -1.18654     | -1.20566     | 7.40479      | 1.5          
20      | -4       | 62      | 0                 | 41                | 4.4127       | -1.63638     | -1.54128     | 11.8578      | 1.5          
21      | 4900001  | 22      | 0                 | 23-24             | 494.945      | -0.987027    | -2.14778     | 757.965      | 50.8422      
22      | -4900001 | 22      | 0                 | 25-26             | 608.711      | 0.387183     | 1.11586      | 656.82       | 50.0465      
23      | 4900022  | 22      | 0                 | 27-28             | 390.863      | -1.02871     | -2.1719      | 616.667      | 10.8686      
24      | 4900004  | 1       | 0                 |                   | 104.621      | -0.814478    | -2.05753     | 141.298      | 2            
25      | 4900022  | 22      | 0                 | 29-30             | 328.483      | 0.420201     | 1.04827      | 357.917      | 1.81563      
26      | -4900004 | 1       | 0                 |                   | 281.853      | 0.346034     | 1.19465      | 298.903      | 2            
27      | 13       | 1       | 0                 |                   | 164.281      | -0.998421    | -2.1848      | 253.194      | 0.10566      
28      | -13      | 1       | 0                 |                   | 226.606      | -1.05015     | -2.16255     | 363.473      | 0.10566      
29      | 11       | 23      | 0                 | 33                | 154.536      | 0.4196       | 1.0541       | 168.341      | 0.000510991  
30      | -11      | 23      | 0                 | 31-32             | 173.952      | 0.420724     | 1.04309      | 189.576      | 0.000510994  
31      | -11      | 1       | 0                 |                   | 173.951      | 0.420724     | 1.04309      | 189.575      | 0.00051101   
32      | 22       | 1       | 0                 |                   | 0.00130426   | 0.421407     | 1.04276      | 0.00142179   | -1.26023e-11 
33      | 11       | 1       | 0                 |                   | 154.536      | 0.4196       | 1.0541       | 168.341      | 0.000510991  
34      | 21       | 71      | 0                 | 45                | 52.2745      | 2.59824      | -1.68711     | 353.232      | -3.8147e-06  
35      | -1       | 71      | 0                 | 45                | 74.7904      | 2.65637      | -1.66324     | 535.298      | 0.33         
36      | 4        | 71      | 0                 | 38                | 4.04985      | -1.18654     | -1.20566     | 7.40479      | 1.5          
37      | -1       | 71      | 0                 | 38                | 13.3939      | -3.53024     | 1.22451      | 228.778      | 0.33         
38      | 423      | 2       | 0                 | 46-47             | 2.78013      | -1.3663      | -1.10598     | 6.1419       | 2.00698      
39      | 1        | 71      | 0                 | 42                | 17.4924      | -4.68852     | 0.682811     | 950.723      | 0.33         
40      | 21       | 71      | 0                 | 42                | 8.2541       | -1.1013      | -1.81459     | 13.7865      | 1.19209e-07  
41      | -4       | 71      | 0                 | 42                | 4.4127       | -1.63638     | -1.54128     | 11.8578      | 1.5          
42      | -423     | 2       | 0                 | 48-49             | 5.01006      | -1.38115     | -1.65912     | 10.7866      | 2.00698      
43      | 21       | 71      | 0                 |                   | 6.80239      | 3.88267      | -0.593599    | 165.211      | 5.04637e-06  
44      | 2212     | 1       | 0                 |                   | 0.722433     | -2.87744     | -0.951896    | 6.50671      | 0.93827      
45      | 2212     | 1       | 0                 |                   | 0.998402     | 2.98747      | -1.38116     | 9.9713       | 0.93827      
46      | 421      | 2       | 0                 | 50-52             | 2.57033      | -1.37304     | -1.12118     | 5.71158      | 1.86486      
47      | 111      | 2       | 0                 |                   | 0.213704     | -1.2646      | -0.922126    | 0.430322     | 0.13498      
48      | -421     | 2       | 0                 | 53-54             | 4.6808       | -1.38535     | -1.66645     | 10.1119      | 1.86486      
49      | 111      | 2       | 0                 |                   | 0.331166     | -1.31472     | -1.55528     | 0.674689     | 0.13498      
50      | 211      | 1       | 0                 |                   | 0.390043     | -1.35504     | -0.964845    | 0.818374     | 0.13957      
51      | -211     | 1       | 0                 |                   | 1.50736      | -0.736116    | -1.21016     | 1.93956      | 0.13957      
52      | 130      | 1       | 0                 |                   | 0.687554     | -2.12216     | -1.01448     | 2.95365      | 0.49761      
53      | -20213   | 2       | 0                 | 55                | 3.39267      | -1.45058     | -1.57389     | 7.71192      | 1.09674      
54      | 321      | 1       | 0                 |                   | 1.33987      | -1.16083     | -1.90268     | 2.39998      | 0.49368      
55      | 113      | 2       | 0                 |                   | 3.13861      | -1.45329     | -1.61115     | 7.12733      | 0.827783     
--------------------------------------------------------
EVENT #19
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 42-45 47-54     | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 18 20 38-39 52    | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 2        | 21      | 0                 | 5-7               | 0            | 25904.8      | 0            | 3148.76      | 0            
4       | -4       | 21      | 0                 | 5-7               | 0            | -26028.5     | 0            | 3272.52      | 0            
5       | 25       | 22      | 0                 | 9                 | 138.221      | -1.85911     | 0.414795     | 1124.01      | 1028.1       
6       | 1        | 23      | 0                 | 46                | 83.592       | 4.20559      | -2.65589     | 2803.47      | 0.33         
7       | -3       | 23      | 0                 | 16                | 55.1582      | -4.50438     | -2.83438     | 2493.8       | 0.5          
8       | -4       | 42      | 0                 | 4                 | 0            | -26028.5     | 0            | 3272.52      | 6.10352e-05  
9       | 25       | 44      | 0                 | 11                | 143.845      | -1.81554     | 0.42154      | 1123.72      | 1028.1       
10      | -4       | 42      | 0                 | 8                 | 1.25607e-15  | -43.0972     | -2.35619     | 3272.52      | 6.10352e-05  
11      | 25       | 44      | 0                 | 13                | 145.114      | -1.80768     | 0.42496      | 1123.97      | 1028.1       
12      | -4       | 42      | 0                 | 10                | 0            | -26028.5     | 0            | 3272.52      | -6.10352e-05 
13      | 25       | 44      | 0                 | 15                | 145.041      | -1.8081      | 0.431098     | 1123.95      | 1028.1       
14      | -4       | 41      | 0                 | 12 52             | 1.34241e-12  | -36.2201     | 2.55588      | 3606.1       | 0            
15      | 25       | 44      | 0                 | 19                | 144.32       | -1.81299     | 0.439219     | 1123.89      | 1028.1       
16      | -3       | 44      | 0                 | 40-41 52          | 58.018       | -4.45027     | -2.89361     | 2484.97      | 0.5          
17      | -4       | 53      | 0                 | 14                | 2.97629e-12  | -35.4431     | 2.61955      | 3676.19      | 8.63167e-05  
18      | -4       | 61      | 0                 | 17                | 3.44893      | -7.66472     | -1.30717     | 3676.2       | -6.10352e-05 
19      | 25       | 62      | 0                 | 21-22             | 144.241      | -1.81355     | 0.434745     | 1123.88      | 1028.1       
20      | 4        | 63      | 0                 | 37                | 0.614835     | -6.09447     | 1.18284      | 136.317      | 1.5          
21      | 4900001  | 22      | 0                 | 23-24             | 565.619      | -0.626649    | 0.824786     | 682.206      | 50.1933      
22      | -4900001 | 22      | 0                 | 25-26             | 435.677      | -0.119972    | -2.19059     | 441.677      | 50.188       
23      | 4900022  | 22      | 0                 | 27-28             | 129.181      | -0.47998     | 0.881392     | 144.51       | 6.81385      
24      | 4900004  | 1       | 0                 |                   | 436.706      | -0.6676      | 0.808049     | 537.697      | 2            
25      | 4900022  | 22      | 0                 | 32-33             | 54.8744      | -0.0823899   | -2.49193     | 55.0756      | 1.2773       
26      | -4900004 | 1       | 0                 |                   | 383.621      | -0.124459    | -2.14812     | 386.601      | 2            
27      | 13       | 23      | 0                 | 29-30             | 42.1487      | -0.554458    | 0.87187      | 48.7952      | 0.10566      
28      | -13      | 23      | 0                 | 31                | 87.0351      | -0.442967    | 0.886003     | 95.7147      | 0.10566      
29      | 13       | 1       | 0                 |                   | 42.1488      | -0.554457    | 0.87187      | 48.7954      | 0.10566      
30      | 22       | 1       | 0                 |                   | 0.000244959  | -0.409005    | 0.874964     | 0.000265735  | 5.8942e-12   
31      | -13      | 1       | 0                 |                   | 87.0347      | -0.442967    | 0.886003     | 95.7143      | 0.10566      
32      | 11       | 23      | 0                 | 34-35             | 52.0125      | -0.0828037   | -2.48648     | 52.1909      | 0.000511001  
33      | -11      | 23      | 0                 | 36                | 2.87669      | -0.0744831   | -2.59062     | 2.88467      | 0.000511     
34      | 11       | 1       | 0                 |                   | 52.0127      | -0.0828037   | -2.48648     | 52.1912      | 0.000511     
35      | 22       | 1       | 0                 |                   | 6.41896e-05  | -0.0578574   | -2.71098     | 6.42971e-05  | -3.40539e-12 
36      | -11      | 1       | 0                 |                   | 2.87639      | -0.0744831   | -2.59062     | 2.88437      | 0.000511     
37      | 4        | 71      | 0                 | 38-39             | 0.614835     | -6.09447     | 1.18284      | 136.317      | 1.5          
38      | 413      | 2       | 0                 | 55-56             | 0.700404     | -6.63005     | 1.21262      | 265.293      | 2.01028      
39      | 2212     | 1       | 0                 |                   | 0.382825     | -7.52501     | 0.783273     | 354.846      | 0.93827      
40      | 3        | 71      | 0                 |                   | 7.47162      | -4.09472     | -2.70745     | 224.296      | 0.5          
41      | -3       | 71      | 0                 |                   | 45.539       | -4.49356     | -2.85066     | 2036.74      | 0.5          
42      | 21       | 71      | 0                 | 44-45             | 10.6146      | 3.90141      | -2.25465     | 262.67       | -7.62939e-06 
43      | 21       | 71      | 0                 | 44-45             | 6.21394      | 5.45745      | -1.13799     | 728.592      | 1.86881e-05  
44      | -323     | 2       | 0                 |                   | 1.50419      | 1.4273       | -2.95885     | 3.44444      | 0.936162     
45      | 2212     | 1       | 0                 |                   | 0.740001     | 3.47659      | 2.80588      | 12.0173      | 0.93827      
46      | 1        | 71      | 0                 | 53-54             | 30.0999      | 5.1971       | 3.09506      | 2720.33      | 0.33         
47      | 21       | 71      | 0                 | 53-54             | 6.43695      | 1.45398      | -2.0396      | 14.5274      | -1.68587e-07 
48      | 21       | 71      | 0                 | 53-54             | 7.35484      | 0.911951     | -2.66891     | 10.6311      | -2.52881e-07 
49      | 21       | 71      | 0                 | 53-54             | 10.6849      | 0.818836     | -2.64125     | 14.4716      | 0            
50      | 21       | 71      | 0                 | 53-54             | 12.4928      | 0.980752     | -2.63716     | 18.9983      | -5.59141e-07 
51      | 21       | 71      | 0                 | 53-54             | 9.4513       | 0.88495      | -2.59553     | 13.4         | -2.38419e-07 
52      | 2212     | 1       | 0                 |                   | 1.05609      | -4.66945     | -0.948933    | 56.323       | 0.93827      
53      | 2212     | 1       | 0                 |                   | 1.29057      | 1.37748      | -2.56355     | 2.87844      | 0.93827      
54      | 310      | 1       | 0                 |                   | 3.24949      | 0.878888     | -2.70703     | 4.61431      | 0.49761      
55      | 421      | 2       | 0                 | 57-58             | 0.688589     | -6.57584     | 1.23265      | 247.055      | 1.86486      
56      | 211      | 1       | 0                 |                   | 0.0182502    | -7.60021     | 0.355953     | 18.2381      | 0.13957      
57      | -10323   | 2       | 0                 | 59                | 0.927654     | -5.99754     | 1.60492      | 186.667      | 1.272        
58      | 211      | 1       | 0                 |                   | 0.380339     | -5.76063     | -0.817827    | 60.3886      | 0.13957      
59      | -313     | 2       | 0                 | 60-61             | 0.982748     | -5.67683     | 1.59797      | 143.496      | 0.929802     
60      | -311     | 2       | 0                 |                   | 0.339494     | -6.32235     | 1.71552      | 94.5301      | 0.49761      
61      | 111      | 2       | 0                 |                   | 0.646823     | -5.01991     | 1.53637      | 48.9661      | 0.13498      
--------------------------------------------------------
EVENT #20
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 26-29 34-39 41-44 46-47 51 | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 15 26 29 31-35 37-47 50-51 54-55 | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 2        | 21      | 0                 | 5-7               | 0            | 23339.1      | 0            | 583.135      | 0            
4       | 1        | 21      | 0                 | 5-7               | 0            | -23749.9     | 0            | 993.887      | 0            
5       | 25       | 22      | 0                 | 8                 | 10.1627      | -4.73194     | -2.215       | 1351.83      | 1222.57      
6       | 1        | 23      | 0                 | 12                | 32.2322      | 2.46867      | 1.5257       | 191.644      | 0.33         
7       | 2        | 23      | 0                 | 10                | 24.5185      | -0.833837    | -1.37998     | 33.5493      | 0.33         
8       | 25       | 44      | 0                 | 9                 | 11.9676      | -4.56861     | -2.61688     | 1351.87      | 1222.57      
9       | 25       | 44      | 0                 | 11                | 10.3633      | -4.70896     | -2.56104     | 1350.99      | 1222.57      
10      | 2        | 44      | 0                 | 30 32-33 50 54-55 | 24.4341      | -0.835861    | -1.38354     | 33.48        | 0.33         
11      | 25       | 44      | 0                 | 13                | 9.5182       | -4.79381     | -2.51346     | 1350.93      | 1222.57      
12      | 1        | 44      | 0                 | 48-49             | 32.5165      | 2.46157      | 1.48608      | 191.987      | 0.33         
13      | 25       | 44      | 0                 | 14                | 8.7673       | -4.87621     | -2.43041     | 1350.98      | 1222.57      
14      | 25       | 62      | 0                 | 16-17             | 8.67085      | -4.88726     | 3.13589      | 1350.98      | 1222.57      
15      | 22       | 1       | 0                 |                   | 1.34392      | -2.4768      | 3.00278      | 8.05484      | 2.2302e-07   
16      | 4900001  | 22      | 0                 | 18-19             | 535.262      | 0.0586675    | -1.20475     | 538.583      | 50.791       
17      | -4900001 | 22      | 0                 | 20-21             | 538.472      | -0.967601    | 1.95185      | 812.397      | 50.3408      
18      | 4900022  | 22      | 0                 | 22-23             | 250.319      | -0.037979    | -1.17512     | 250.505      | 1.64853      
19      | 4900004  | 1       | 0                 |                   | 285.149      | 0.143049     | -1.23076     | 288.078      | 2            
20      | 4900022  | 22      | 0                 | 24-25             | 264.54       | -0.928314    | 1.98075      | 388.107      | 29.9447      
21      | -4900004 | 1       | 0                 |                   | 274.149      | -1.00387     | 1.92396      | 424.29       | 2            
22      | 211      | 1       | 0                 |                   | 65.3093      | -0.0273473   | -1.17742     | 65.3339      | 0.13957      
23      | -211     | 1       | 0                 |                   | 185.01       | -0.0417311   | -1.17431     | 185.171      | 0.13957      
24      | 13       | 1       | 0                 |                   | 182.494      | -0.860009    | 2.02223      | 254.245      | 0.10566      
25      | -13      | 1       | 0                 |                   | 82.5505      | -1.06406     | 1.88895      | 133.862      | 0.10566      
26      | 2212     | 1       | 0                 |                   | 0.8892       | -1.50019     | 0.140017     | 2.29289      | 0.93827      
27      | 3        | 71      | 0                 | 56-57             | 0.560104     | -0.535968    | 2.54462      | 0.814126     | 0.5          
28      | -1       | 71      | 0                 | 56-57             | 0.355492     | 8.72005      | 2.05083      | 1088.6       | 0.33         
29      | 21       | 71      | 0                 | 51                | 5.59138      | -4.23211     | 1.39661      | 192.559      | 8.52992e-06  
30      | 2        | 71      | 0                 | 32-33 50 54-55    | 16.4427      | -0.946319    | -1.48749     | 24.3734      | 0.33         
31      | -1       | 71      | 0                 | 32-33 50 54-55    | 0.276735     | -8.00226     | -0.852246    | 413.404      | 0.33         
32      | -323     | 2       | 0                 | 52                | 5.37865      | -0.859964    | -1.47021     | 7.54638      | 0.894915     
33      | 2212     | 1       | 0                 |                   | 0.874837     | -2.22019     | -1.04182     | 4.18231      | 0.93827      
34      | 21       | 71      | 0                 | 37-39             | 5.96646      | 0.0342357    | -0.943971    | 5.97044      | 0.0757223    
35      | 21       | 71      | 0                 | 37-39             | 6.03279      | 0.209156     | -1.19379     | 6.18418      | 0.483757     
36      | 21       | 71      | 0                 | 37-39             | 5.39013      | 0.792182     | -0.671256    | 7.17174      | 6.95104e-07  
37      | 2212     | 1       | 0                 |                   | 0.977517     | 1.52621      | 3.02146      | 2.53492      | 0.93827      
38      | 2212     | 1       | 0                 |                   | 2.67082      | 3.73826      | -0.354795    | 56.1597      | 0.93827      
39      | 323      | 2       | 0                 | 53                | 2.63581      | 2.14565      | -0.641902    | 11.4615      | 0.985916     
40      | 21       | 71      | 0                 | 41                | 5.77481      | -3.8158      | -1.8162      | 131.189      | 5.72205e-06  
41      | 2212     | 1       | 0                 |                   | 2.82423      | -3.65809     | -1.7722      | 54.8166      | 0.93827      
42      | 21       | 71      | 0                 | 44                | 7.07917      | 3.30632      | -1.4933      | 96.707       | 0.503243     
43      | -1       | 71      | 0                 | 44                | 6.05738      | 4.37378      | 1.57375      | 240.346      | 0.735163     
44      | 2212     | 1       | 0                 |                   | 0.627075     | -3.11225     | 1.63348      | 7.12169      | 0.93827      
45      | 21       | 71      | 0                 | 47                | 6.52803      | -1.71664     | 1.57234      | 18.7546      | 0.229625     
46      | -2       | 71      | 0                 | 47                | 9.12632      | -1.35875     | 2.08653      | 18.9412      | 0.666912     
47      | -323     | 2       | 0                 |                   | 2.76668      | -1.63306     | 1.82553      | 7.40948      | 0.919113     
48      | 21       | 71      | 0                 |                   | 21.1457      | 2.43394      | 1.54632      | 121.496      | 3.30362e-06  
49      | 1        | 71      | 0                 |                   | 9.64243      | 2.33518      | 1.5129       | 50.2771      | 0.33         
50      | 2212     | 1       | 0                 |                   | 3.99195      | -0.991809    | -1.45019     | 6.19316      | 0.93827      
51      | 310      | 1       | 0                 |                   | 2.44496      | -0.92304     | -1.90623     | 3.59718      | 0.49761      
52      | 310      | 1       | 0                 |                   | 2.21974      | -0.832666    | -1.38568     | 3.07527      | 0.49761      
53      | 310      | 1       | 0                 |                   | 1.35048      | 2.37452      | -0.609653    | 7.33579      | 0.49761      
54      | 11       | 1       | 0                 |                   | 0.0317148    | -0.936121    | -0.863416    | 0.0466586    | 0.000511     
55      | -11      | 1       | 0                 |                   | 0.195637     | -0.947468    | -0.859499    | 0.290218     | 0.000511     
56      | 11       | 1       | 0                 |                   | 0.0376647    | 7.62947      | -1.18768     | 38.7563      | 0.000511002  
57      | -11      | 1       | 0                 |                   | 0.0168471    | 7.46456      | -0.964513    | 14.6998      | 0.000511001  
